id,code,name
l10n_pe_economic_activity_1621,1621,Fabricación de hojas de madera para enchapado y tableros a base de madera
l10n_pe_economic_activity_1622,1622,Fabricación de partes y piezas de carpintería para edificios y construcciones
l10n_pe_economic_activity_1623,1623,Fabricación de recipientes de madera
l10n_pe_economic_activity_1620,1620,Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables.
l10n_pe_economic_activity_1701,1701,Fabricación de pasta de madera, papel y cartón
l10n_pe_economic_activity_1702,1702,Fabricación del papel y cartón ondulado y de envases de papel y cartón
l10n_pe_economic_activity_1709,1709,Fabricación de otros artículos del papel y cartón
l10n_pe_economic_activity_1811,1811,Impresión
l10n_pe_economic_activity_1812,1812,Actividades de servicios relacionadas con la impresión
l10n_pe_economic_activity_1820,1820,Reproducción de grabaciones
l10n_pe_economic_activity_1910,1910,Fabricación de productos de hornos de coque
l10n_pe_economic_activity_1920,1920,Fabricación de productos de la refinación del petróleo
l10n_pe_economic_activity_2011,2011,Fabricación de sustancias químicas básicas
l10n_pe_economic_activity_2012,2012,Fabricación abonos y compuestos de nitrógeno
l10n_pe_economic_activity_2013,2013,Fabricación de plásticos y de caucho sintético en formas primarias
l10n_pe_economic_activity_2021,2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
l10n_pe_economic_activity_2020,2020,Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas
l10n_pe_economic_activity_2020,2020,Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.
l10n_pe_economic_activity_2029,2029,Fabricación de otros productos químicos n.c.p.
l10n_pe_economic_activity_2030,2030,Fabricación de fibras artificiales
l10n_pe_economic_activity_2100,2100,Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico
l10n_pe_economic_activity_2211,2211,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
l10n_pe_economic_activity_2219,2219,Fabricación de otros productos de caucho
l10n_pe_economic_activity_2220,2220,Fabricación de productos de plástico
l10n_pe_economic_activity_2310,2310,Fabricación de vidrio y de productos de vidrio
l10n_pe_economic_activity_2391,2391,Fabricación de productos refractarios
l10n_pe_economic_activity_2392,2392,Fabricación de materiales de construcción de arcilla
l10n_pe_economic_activity_2393,2393,Fabricación de otros productos de porcelana y de cerámica
l10n_pe_economic_activity_2394,2394,Fabricación de cemento, cal y yeso
l10n_pe_economic_activity_2395,2395,Fabricación de artículos de hormigón, de cemento y de yeso
l10n_pe_economic_activity_2396,2396,Corte, talla y acabado de la piedra
l10n_pe_economic_activity_2399,2399,Fabricación de otros productos minerales no metálicos n.c.p.
l10n_pe_economic_activity_2410,2410,Industrias básicas de hierro y acero
l10n_pe_economic_activity_2420,2420,Fabricación de productos primarios de metales preciosos y otros metales no ferrosos
l10n_pe_economic_activity_2431,2431,Fundición de hierro y acero
l10n_pe_economic_activity_2432,2432,Fundición de metales no ferrosos
l10n_pe_economic_activity_2511,2511,Fabricación de productos metálicos para uso estructural
l10n_pe_economic_activity_2512,2512,Fabricación de tanques, depósitos y recipientes de metal
l10n_pe_economic_activity_2510,2510,Fabricación de los generadores del vapor, excepto calderas de agua caliente para calefacción central
l10n_pe_economic_activity_2520,2520,Fabricación de armas y municiones
l10n_pe_economic_activity_2591,2591,Forja, prensado, estampado y laminado de metales; pulvimetalurgia
l10n_pe_economic_activity_2592,2592,Tratamiento y revestimiento de metales; maquinado
l10n_pe_economic_activity_2593,2593,Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería
l10n_pe_economic_activity_2599,2599,Fabricación de otros productos elaborados de metal n.c.p.
l10n_pe_economic_activity_2610,2610,Fabricación de componentes y tableros electrónicos
l10n_pe_economic_activity_2620,2620,Fabricación de ordenadores y equipo periférico
l10n_pe_economic_activity_2630,2630,Fabricación de equipos de comunicaciones
l10n_pe_economic_activity_2640,2640,Fabricación de aparatos electrónicos de consumo
l10n_pe_economic_activity_2651,2651,Fabricación de equipo de medición, prueba, navegación y control
l10n_pe_economic_activity_2652,2652,Fabricación de relojes
l10n_pe_economic_activity_2660,2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
l10n_pe_economic_activity_2670,2670,Fabricación de instrumentos ópticos y equipo fotográfico
l10n_pe_economic_activity_2680,2680,Fabricación de soportes magnéticos y ópticos
l10n_pe_economic_activity_2710,2710,Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica
l10n_pe_economic_activity_2720,2720,Fabricación de pilas, baterías y acumuladores
l10n_pe_economic_activity_2731,2731,Fabricación de cables de fibra óptica
l10n_pe_economic_activity_2732,2732,Fabricación de otros hilos y cables eléctricos
l10n_pe_economic_activity_2733,2733,Fabricación de dispositivos de cableado
l10n_pe_economic_activity_2740,2740,Fabricación de equipo eléctrico de iluminación
l10n_pe_economic_activity_2750,2750,Fabricación de aparatos de uso doméstico
l10n_pe_economic_activity_2790,2790,Fabricación de otros tipos de equipo eléctrico
l10n_pe_economic_activity_2810,2810,Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas
l10n_pe_economic_activity_2812,2812,Fabricación de equipo de propulsión de fluidos
l10n_pe_economic_activity_2813,2813,Fabricación de bombas, compresores, grifos y válvulas
l10n_pe_economic_activity_2814,2814,Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión
l10n_pe_economic_activity_2815,2815,Fabricación de hornos, hogares y quemadores
l10n_pe_economic_activity_2816,2816,Fabricación de equipo de elevación y manipulación
l10n_pe_economic_activity_2817,2817,Fabricación de maquinaria y equipo de oficina (excepto ordenadores y equipo periférico)
l10n_pe_economic_activity_2818,2818,Fabricación de herramientas de mano motorizadas
l10n_pe_economic_activity_2819,2819,Fabricación de otros tipos de maquinaria de uso general
l10n_pe_economic_activity_2821,2821,Fabricación de maquinaria agropecuaria y forestal
